#,id,age,district,activity_frequency,barrier_details,created_at,activity_types,development_ideas,missing_infrastructure,sports_accessibility_rating,usage_barriers,agree_personal_data,agree_privacy_policy,marker,development_priorities,preferred_events
91,90,26-35,Ауэзовский,Несколько раз в неделю,"жители города не ценят спортивные и детские площадки в общественных местах, царапают, ломают. Необходимо решать вопрос что бы горожане ценили это как своё собственное имущество.",2025-06-17 04:36:13.507007 +00:00,"""""","в фемили парке всегда проводят для взрослых и пенсионеров музыку это здорово, было бы неплохо и для детей проводить","""Велодорожки / беговые дорожки, Теневые навесы / зелёные аллеи, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":4,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":5,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":4,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""""",true,true,POINT (76.8981649 43.2382964),"""{\""Пешеходные улицы \"":4,\""Скамейки и навесы \"":5,\""Амфитеатр / сцена для мероприятий \"":2,\""Детские площадки \"":4,\""Велодорожки и беговые дорожки\"":5,\""Озеленение и тень (деревья)\"":5,\""Питьевые фонтанчики, туалеты\"":5}""","вдоль абая много самокатчиков едут по пешеходной дороге, очень опасно и не приятно особенно от фемили парка до саина и от саина до момышулы."
92,91,46-60,Медеуский,Несколько раз в месяц,Тест,2025-06-17 04:45:26.181142 +00:00,"""Футбол / мини-футбол""",Тест,"""Велодорожки / беговые дорожки, Скейт-парк / роллердром""","""{\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":2,\""Оцените доступность спортивных объектов в вашем районе\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":5,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":4,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Отсутствие безопасности""",true,true,POINT (76.91484832763672 43.27356338500977),"""{\""Пешеходные улицы \"":1,\""Скамейки и навесы \"":2,\""Амфитеатр / сцена для мероприятий \"":3,\""Детские площадки \"":4,\""Велодорожки и беговые дорожки\"":5,\""Озеленение и тень (деревья)\"":4,\""Питьевые фонтанчики, туалеты\"":3}""",Тест
93,92,36-45,Бостандыкский,Несколько раз в неделю,Нет,2025-06-17 04:53:08.927972 +00:00,"""Бег, Зимние виды спорта (лыжи, коньки)""",Концерты,"""Зимние объекты (катки, лыжня), Теневые навесы / зелёные аллеи, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":4,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":2,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":3,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Нехватка тени / скамеек, Отсутствие туалетов / питьевой воды, Слишком шумно / много машин""",true,true,POINT (76.9310102 43.2411163),"""{\""Детские площадки \"":5,\""Питьевые фонтанчики, туалеты\"":5}""",Внедрять зоны без машин
94,93,36-45,Медеуский,Ежедневно,Нет,2025-06-17 06:03:51.046429 +00:00,"""Йога / фитнес / групповые занятия""",Озеленение,"""Велодорожки / беговые дорожки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":5,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":5,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":5}""","""Мало информации""",true,true,,"""{\""Пешеходные улицы \"":5,\""Скамейки и навесы \"":5,\""Велодорожки и беговые дорожки\"":5,\""Озеленение и тень (деревья)\"":5}""","Озеленение провели, но дальше все засохло и никто не ухаживает"
95,94,36-45,Ауэзовский,Несколько раз в неделю,Хотелось бы больше зеленого пространства,2025-06-17 06:05:32.355579 +00:00,"""Йога / фитнес / групповые занятия""",Групповые занятия,"""Теневые навесы / зелёные аллеи""","""{\""Оцените доступность спортивных объектов в вашем районе\"":4,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":5,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Отсутствие туалетов / питьевой воды""",true,true,POINT (76.68996048601112 43.223235771210774),"""{\""Пешеходные улицы \"":5,\""Скамейки и навесы \"":5,\""Амфитеатр / сцена для мероприятий \"":5,\""Детские площадки \"":3,\""Озеленение и тень (деревья)\"":5,\""Велодорожки и беговые дорожки\"":3,\""Питьевые фонтанчики, туалеты\"":5}""","В районе семи вариант тренажеров. Больше бы Цветников, клумб. Малые архитектурные формы"
96,95,18-25,Бостандыкский,Ежедневно,-,2025-06-17 06:28:38.176233 +00:00,"""Велоспорт / скейт / роллеры / самокат, Зимние виды спорта (лыжи, коньки), Плавание / аквааэробика""",-,"""Велодорожки / беговые дорожки, Зоны для пеших прогулок, Скамейки и уличная мебель""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":4,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":4,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Плохое состояние объектов, Отсутствие безопасности, Нехватка тени / скамеек""",true,true,POINT (76.89831768338166 43.23855714654499),"""{\""Скамейки и навесы \"":5,\""Велодорожки и беговые дорожки\"":5,\""Питьевые фонтанчики, туалеты\"":5,\""Пешеходные улицы \"":4,\""Амфитеатр / сцена для мероприятий \"":4,\""Детские площадки \"":4,\""Озеленение и тень (деревья)\"":4}""",
97,96,36-45,Ауэзовский,Несколько раз в месяц,"Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм. Там можно было бы сделать пеший трек. Возле школы Тамос горка, которую люди города использовали зимой для катания на баллонах, лыжах, проведения наурыза, масленицы.",2025-06-17 06:42:27.351192 +00:00,"""Йога / фитнес / групповые занятия""","Наш район выше аль фараби , баганашыл, ерменсай, нур алатау, не имеет не то что спортивных площадок, а даже тротуаров. Сколько мы просили пустырь на торангы отдать под зону отдыха. Там можно было бы разбить небольшой парк, сделать игровые поля, детские игровые зоны на весь массив. Но нет, жадность чиновников не позволила.","""Зоны для семейного отдыха, ""","""{\""Оцените доступность спортивных объектов в вашем районе\"":1,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":1}""","""Мало информации, """,true,true,POINT (76.91484832763672 43.27356338500977),"""{\""Пешеходные улицы \"":1,\""Скамейки и навесы \"":1,\""Амфитеатр / сцена для мероприятий \"":1,\""Детские площадки \"":1,\""Велодорожки и беговые дорожки\"":1,\""Озеленение и тень (деревья)\"":1,\""Питьевые фонтанчики, туалеты\"":1}""",Тест
98,97,26-35,Жетысуский,Несколько раз в месяц,"Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм.",2025-06-17 06:46:00.587390 +00:00,"""Волейбол""","Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм.","""Бассейн / водные объекты, ""","""{\""Оцените доступность спортивных объектов в вашем районе\"":1,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":1}""","""""",true,true,POINT (76.91484832763672 43.27356338500977),"""{\""Пешеходные улицы \"":1,\""Скамейки и навесы \"":1,\""Детские площадки \"":1,\""Амфитеатр / сцена для мероприятий \"":1,\""Велодорожки и беговые дорожки\"":1,\""Озеленение и тень (деревья)\"":1,\""Питьевые фонтанчики, туалеты\"":1}""","Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм."
99,98,36-45,Медеуский,Несколько раз в месяц,"Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм.",2025-06-17 06:48:25.204586 +00:00,"""Йога / фитнес / групповые занятия""","Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм.","""Зоны для семейного отдыха""","""{\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Оцените доступность спортивных объектов в вашем районе\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":1}""","""Отсутствие туалетов / питьевой воды""",true,true,POINT (76.91484832763672 43.27356338500977),"""{\""Велодорожки и беговые дорожки\"":1,\""Детские площадки \"":1,\""Амфитеатр / сцена для мероприятий \"":1,\""Скамейки и навесы \"":1,\""Пешеходные улицы \"":1,\""Озеленение и тень (деревья)\"":1,\""Питьевые фонтанчики, туалеты\"":1}""","Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм."
100,99,46-60,Медеуский,Несколько раз в неделю,Электросамокаты.,2025-06-17 06:50:30.176285 +00:00,"""Теннис / настольный теннис, """,По развитию интернационализма и мультикультурализма для молодёжи,"""Велодорожки / беговые дорожки, Бассейн / водные объекты, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":3,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":3,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":2,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Нехватка тени / скамеек, Отсутствие туалетов / питьевой воды, Мало информации""",true,true,,"""{\""Велодорожки и беговые дорожки\"":5,\""Озеленение и тень (деревья)\"":5,\""Питьевые фонтанчики, туалеты\"":5,\""Пешеходные улицы \"":2,\""Скамейки и навесы \"":2,\""Амфитеатр / сцена для мероприятий \"":2,\""Детские площадки \"":3}""",Уход за зелёными насаждениями. Переход на биологические препараты. Прекратить травить птиц.
101,100,26-35,Алмалы ауданы,Аптасына бірнеше рет,"Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм. Там можно было бы сделать пеший трек. Возле школы Тамос горка, которую люди города использовали зимой для катания на баллонах, лыжах, проведения наурыза, масленицы. Но нет,  эту горку уже нарезали на куски и распродают на строительство домов.  Ниже школы Тамос есть лог. В этом логу все пытаются завезти насыпной грунт и напихать туда жк, но ведь там можно было бы опять же сделать парк, сделать большую зону отдыха с фруктовыми деревьями, с беговыми дорожками, с детскими площадками.",2025-06-17 06:56:40.670809 +00:00,"""Футбол / мини-футбол, Йога / фитнес / топтық жаттығулар""","Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм. Там можно было бы сделать пеший трек. Возле школы Тамос горка, которую люди города использовали зимой для катания на баллонах, лыжах, проведения наурыза, масленицы. Но нет,  эту горку уже нарезали на куски и распродают на строительство домов.  Ниже школы Тамос есть лог. В этом логу все пытаются завезти насыпной грунт и напихать туда жк, но ведь там можно было бы опять же сделать парк, сделать большую зону отдыха с фруктовыми деревьями, с беговыми дорожками, с детскими площадками.","""Веложолдар / жүгіру жолақтары, Көшедегі жаттығу құралдары""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":5,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":5,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":5,\""Сіздің ауданыңызда жаяу жүруге ыңғайлы жаяу жүргіншілер алаңы мен тротуарлар жеткілікті ме?\"":5,\""Жақын жерде іс-шаралар өткізу орындары/амфитеатрлар бар ма және олар қаншалықты танымал?\"":3,\""Қоғамдық орындардағы орындықтар, шатырлар мен су бұрқақтар қаншалықты ыңғайлы және қолжетімді?\"":3,\""Сүйікті демалыс орындарының тазалығы мен ыңғайлылығын (қоқыс жәшіктері, абаттандыру, қоғамдық дәретханалар) бағалаңыз.\"":3}""","""Қауіпсіздіктің болмауы, Ыңғайсыз кесте, Дәретхананың/ауыз судың болмауы""",true,true,POINT (76.8980801 43.2382183),"""{\""Жаяу жүргіншілер көшелері\"":5,\""Орындықтар мен көлеңке\"":5,\""Іс-шараларға арналған амфитеатр\"":5,\""Балалар алаңдары\"":5,\""Веложолдар & жүгiру жолдары\"":5,\""Көгалдандыру, көлеңке\"":5,\""Iшу су бұрқақтары, дәретханалар\"":5}""","Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм. Там можно было бы сделать пеший трек. Возле школы Тамос горка, которую люди города использовали зимой для катания на баллонах, лыжах, проведения наурыза, масленицы. Но нет,  эту горку уже нарезали на куски и распродают на строительство домов.  Ниже школы Тамос есть лог. В этом логу все пытаются завезти насыпной грунт и напихать туда жк, но ведь там можно было бы опять же сделать парк, сделать большую зону отдыха с фруктовыми деревьями, с беговыми дорожками, с детскими площадками."
102,101,46-60,Медеуский,Несколько раз в неделю,Нет велодорожек и беговых трасс,2025-06-17 06:57:07.525765 +00:00,"""Бег, Теннис / настольный теннис, Велоспорт / скейт / роллеры / самокат""",Меньше пробок,"""Велодорожки / беговые дорожки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":1,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":2,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":2,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Транспортная недоступность, Отсутствие пешеходного доступа / тротуаров""",true,true,,"""{\""Велодорожки и беговые дорожки\"":5,\""Питьевые фонтанчики, туалеты\"":5}""",Нужны велодорожки
103,102,36-45,Бостандыкский,Редко,"ТЕСТ Наш район выше аль фараби , баганашыл, ерменсай, нур алатау, не имеет не то что спортивных площадок, а даже тротуаров. Сколько мы просили пустырь на торангы отдать под зону отдыха. Там можно было бы разбить небольшой парк, сделать игровые поля, детские игровые зоны на весь массив. Но нет, жадность чиновников не позволила. Теперь на этом пустыре строится со всеми возможными нарушениями жилой комплекс.  При отсутствии нормальных городских коммуникаций, при запрете на такое строительство выше аль фараби, при отсутствии нормальных дорог. Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм. Там можно было бы сделать пеший трек. Возле школы Тамос горка, которую люди города использовали зимой для катания на баллонах, лыжах, проведения наурыза, масленицы. Но нет,  эту горку уже нарезали на куски и распродают на строительство домов.  Ниже школы Тамос есть лог. В этом логу все пытаются завезти насыпной грунт и напихать туда жк, но ведь там можно было бы опять же сделать парк, сделать большую зону отдыха с фруктовыми деревьями, с беговыми дорожками, с детскими площадками.",2025-06-17 07:03:31.745096 +00:00,"""""","ТЕСТ ТЕСТ Наш район выше аль фараби , баганашыл, ерменсай, нур алатау, не имеет не то что спортивных площадок, а даже тротуаров. Сколько мы просили пустырь на торангы отдать под зону отдыха. Там можно было бы разбить небольшой парк, сделать игровые поля, детские игровые зоны на весь массив. Но нет, жадность чиновников не позволила. Теперь на этом пустыре строится со всеми возможными нарушениями жилой комплекс.  При отсутствии нормальных городских коммуникаций, при запрете на такое строительство выше аль фараби, при отсутствии нормальных дорог. Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм. Там можно было бы сделать пеший трек. Возле школы Тамос горка, которую люди города использовали зимой для катания на баллонах, лыжах, проведения наурыза, масленицы. Но нет,  эту горку уже нарезали на куски и распродают на строительство домов.  Ниже школы Тамос есть лог. В этом логу все пытаются завезти насыпной грунт и напихать туда жк, но ведь там можно было бы опять же сделать парк, сделать большую зону отдыха с фруктовыми деревьями, с беговыми дорожками, с детскими площадками.","""Спортивные площадки, Уличные тренажёры, Велодорожки / беговые дорожки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":3,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":3,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Недостаток бесплатных площадок, Плохое состояние объектов, Неудобное расписание""",true,true,,"""{\""Пешеходные улицы \"":3,\""Скамейки и навесы \"":3,\""Амфитеатр / сцена для мероприятий \"":3,\""Велодорожки и беговые дорожки\"":3,\""Детские площадки \"":3,\""Озеленение и тень (деревья)\"":3,\""Питьевые фонтанчики, туалеты\"":3}""","ТЕСТ Наш район выше аль фараби , баганашыл, ерменсай, нур алатау, не имеет не то что спортивных площадок, а даже тротуаров. Сколько мы просили пустырь на торангы отдать под зону отдыха. Там можно было бы разбить небольшой парк, сделать игровые поля, детские игровые зоны на весь массив. Но нет, жадность чиновников не позволила. Теперь на этом пустыре строится со всеми возможными нарушениями жилой комплекс.  При отсутствии нормальных городских коммуникаций, при запрете на такое строительство выше аль фараби, при отсутствии нормальных дорог. Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм. Там можно было бы сделать пеший трек. Возле школы Тамос горка, которую люди города использовали зимой для катания на баллонах, лыжах, проведения наурыза, масленицы. Но нет,  эту горку уже нарезали на куски и распродают на строительство домов.  Ниже школы Тамос есть лог. В этом логу все пытаются завезти насыпной грунт и напихать туда жк, но ведь там можно было бы опять же сделать парк, сделать большую зону отдыха с фруктовыми деревьями, с беговыми дорожками, с детскими площадками."
104,103,36-45,Медеуский,Несколько раз в неделю,"Наш район выше аль фараби , баганашыл, ерменсай, нур алатау, не имеет не то что спортивных площадок, а даже тротуаров. Сколько мы просили пустырь на торангы отдать под зону отдыха. Там можно было бы разбить небольшой парк, сделать игровые поля, детские игровые зоны на весь массив. Но нет, жадность чиновников не позволила. Теперь на этом пустыре строится со всеми возможными нарушениями жилой комплекс.  При отсутствии нормальных городских коммуникаций, при запрете на такое строительство выше аль фараби, при отсутствии нормальных дорог.",2025-06-17 07:04:09.807752 +00:00,"""Волейбол""","Есть выше нашего массива заброшенный детский дом с огромной территорией. Раз уж забрали его у сирот, можно эту территорию облагородить и использовать для спортивной зоны для жителей ерменсая. От этого места идёт тропа на холм. Там можно было бы сделать пеший трек. Возле школы Тамос горка, которую люди города использовали зимой для катания на баллонах, лыжах, проведения наурыза, масленицы. Но нет,  эту горку уже нарезали на куски и распродают на строительство домов.  Ниже школы Тамос есть лог. В этом логу все пытаются завезти насыпной грунт и напихать туда жк, но ведь там можно было бы опять же сделать парк, сделать большую зону отдыха с фруктовыми деревьями, с беговыми дорожками, с детскими площадками.","""Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":1,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":1}""","""Слишком шумно / много машин""",true,true,POINT (76.91484832763672 43.27356338500977),"""{\""Пешеходные улицы \"":1,\""Скамейки и навесы \"":1,\""Амфитеатр / сцена для мероприятий \"":1,\""Детские площадки \"":1,\""Велодорожки и беговые дорожки\"":1,\""Озеленение и тень (деревья)\"":1,\""Питьевые фонтанчики, туалеты\"":1}""",Тест
